statement,category
"SCP addresses human trafficking, illegal immigration, unmonitored borders (Torkham/Chaman), FIA funding, fundamental rights, appointing commissions.",Constitutional
Criminal review: triple murder convictions under PPC 302(b) and ATA 7(a) modified; death sentence reduced to life after compromise.,Criminal
Criminal review petition for concurrent commutation of life sentences in six abduction for ransom cases; second review dismissed.,Criminal
"Criminal appeal against conviction for kidnapping, rape, and murder of a minor, acquitted due to insufficient circumstantial evidence.",Criminal
"Criminal review petition challenges death sentence for murder, seeking remission based on juvenility and expectancy of life.",Criminal
Appeals against conviction for Qatl-i-Amd during Haraba; Supreme Court acquitted due to unreliable judicial confession and lack of corroboration.,Criminal
"Supreme Court affirms conviction for triple Qatl-i-Amd and robbery, rejecting identification parade and death penalty commutation pleas.",Criminal
Criminal Shariat Appeal against murder conviction upheld by Federal Shariat Court; appellant acquitted due to prosecution's failure and doubts.,Criminal
"Appeal against convictions for child kidnapping, rape, and murder; one death sentence commuted to life for minor.",Criminal
"Advocate's alleged misbehavior with trial court; given time for concise statement or apology, ensuring due process.",Constitutional
"Reviewing bail cancellation in murder case; clarifying successive bail application principles, judicial inconsistency, and remarks against a High Court Judge.",Criminal
Review petition: Army Act court's sentence enhancement from life to death without jurisdiction or hearing is nullified.,Civil
"Dismissing review petition against judgment declaring General Musharraf's 2007 emergency acts unconstitutional, citing no bias or condonable delay.",Constitutional
Review petition challenging Article 84 Constitution interpretation on Federal Government's power regarding supplementary grants and development fund distribution.,Constitutional
Review petitions by General (R) Parvez Musharraf against constitutional petitions dismissed as time-barred and lacking merit.,Constitutional
"Supreme Court reviews election disqualification of Nawaz/Shahbaz Sharif, restoring nomination papers, setting aside High Court judgment.",Constitutional
"Supreme Court stays JIT inquiry into security breach, litigant protocol, and alleged bias, ensuring transparency in Suo Motu case.",Constitutional
"Public universities governance petition: vacant VCs/tenured posts, non-compliance with statutes, fundamental rights violation under Article 184(3).",Constitutional
"Judges seek notices against COAS, PM for 2007 emergency proclamation, PCO related contempt, distinct from disobedience of court order.",Constitutional
Reko Diq mining lease dispute: SC directs Balochistan Government to decide TCC's application transparently regarding copper/gold exploration.,Constitutional
"No judgment text provided, unable to summarize case.",Civil
"Supreme Court directs action against illegal constructions, environmental damage in Margalla Hills National Park; orders demolition and restoration.",Constitutional
"SC declares PTV Chairman's appointment, salary, expenses illegal; orders recovery for fiduciary breach, public exchequer loss under Article 184(3).",Constitutional
"SC probes non-registration of criminal FIR against Bahria Town for forest encroachment, tree destruction, and assaulting forest officers.",Criminal
Application under Art. 184(3) alleging misuse of office by ISI/Armed Forces personnel; directed to pursue alternate remedies.,Constitutional
"Supreme Court clarifies law on second FIR for police encounter killing of Mohsin Ali, sought by mother.",Criminal
No judgment text provided; unable to extract case details.,Civil
"SC directs action on Pakistan Railways' colossal losses, CPEC ML-I, KCR bottlenecks, and operational failures causing accidents.",Constitutional
"Inquiry into alleged gross corruption, irregularities, and mismanagement of medicines/equipment in public hospitals, impacting health services and fundamental rights.",Constitutional
"Suo motu action on alleged gross corruption in hospital oxygen supply, medicine theft, and public health mismanagement.",Constitutional
"Alleged gross corruption in oxygen/medicine supply, theft from hospitals; Supreme Court summons officials, requisitions record in HRC.",Constitutional
Suo moto action on alleged gross corruption in hospital oxygen/medicine supply and theft; seeking detailed reports from C.A.D.D.,Constitutional
SC bench reconstitution challenged; Chief Justice's administrative powers versus judicial independence in Article 184(3) cases.,Constitutional
"Supreme Court addresses alarming population growth, linking it to fundamental rights and socio-economic challenges, urging national policy and action.",Constitutional
"Court stays abrupt removal of schools/commercial buildings from cantonment areas, protecting students' education and enforcing gradual removal.",Constitutional
"Supreme Court reviews legality of mobile company tax deductions (income, sales, excise) and Article 184(3) jurisdiction, citing revenue loss.",Constitutional
"Supreme Court reviews mobile tax deductions' legality under Article 184(3), declining interference with public revenue collection.",Constitutional
"Human Rights Case on delayed compensation for Quetta church terrorist attack victims and directive on using ""Masihi"" for Christians.",Constitutional
"SC addresses excessive load shedding in Sindh, K-Electric infrastructure, and regulatory powers under Electricity Act 1997, directing tribunal.",Constitutional
"Court directs Union Councils, NADRA to register Christian marriages in Punjab, clarifying Christian Marriage Act, 1872 licensing for solemnization.",Constitutional
"Supreme Court Suo Motu directs JIT probe into widespread fake bank accounts, money laundering, and unlawful financial transactions under Article 184(3).",Constitutional
"Supreme Court clarifies revenue authorities' jurisdiction over urban land mutations, affirming land revenue exemption under property tax laws.",Constitutional
"SC rules Chief Justice lacked chamber power to summon parties or issue orders, Human Rights Cell procedure illegal.",Constitutional
"Illegal public funds distribution by President, Army, ISI to manipulate 1990 elections, violating fundamental rights, mandates action.",Constitutional
"Supreme Court reviews 1990 election manipulation by state agencies (ISI, COAS) and misuse of public funds under Article 184(3).",Constitutional
"Supreme Court oversees Kasur minor girl murder investigation, ensuring fair trial amidst media conduct and probing false allegations.",Criminal
"Supreme Court takes suo motu notice of slackness in fake bank accounts and money laundering probe, constitutes JIT.",Criminal
"Challenge to 1990 election manipulation by state functionaries using public funds, violating fundamental right to fair elections.",Constitutional
"Supreme Court reviews Civil Miscellaneous Applications involving Article 184(3) constitutional jurisdiction, addressing fundamental rights/public importance.",Constitutional
Supreme Court directs utility companies to ensure equitable electricity supply amidst unprecedented load shedding through a human rights case.,Constitutional
"PIA CEO's illegal appointment, involving cronyism and mismanagement of national assets, challenged in Human Rights Case.",Constitutional
Supreme Court directs Army to produce Yaseen Shah and 34 other undeclared internees held unlawfully without internment orders.,Constitutional
"Human Rights Case by Air Marshal Asghar Khan, reviewing security agency reports and high-profile official statements.",Constitutional
"Supreme Court sets aside arbitrary civil servant BS-21 to BS-22 promotions, citing lack of merit, transparency, and rules under Article 184(3).",Constitutional
Suo moto action against illegal CNG licenses granted by ex-PMs; Federal Government withdrew DISCOs/KESC tariff notification.,Constitutional
