statement,priority
SC dismissed petitions regarding provincial assembly election dates under Article 184(3) for non-maintainability and judicial restraint.,High
Suo Motu case on constitutional responsibility for appointing general election dates for dissolved Punjab and KPK Provincial Assemblies.,High
"SC dismisses suo motu and Article 184(3) petitions regarding provincial elections, emphasizing High Court jurisdiction, public trust, and judicial restraint.",Low
"Supreme Court delineates constitutional responsibility for appointing Punjab/KP Provincial Assembly general election dates, affirming timely polls.",High
No judgment text provided for analysis.,Low
"SC dismisses suo motu on provincial election date, emphasizing Article 184(3) limits, High Court pendency, and structured Chief Justice powers.",High
Suo Motu on Islamabad High Court judges' letter alleging executive interference in judicial functions; Court seeks institutional response proposals.,High
"Suo moto case on Islamabad High Court judges' letter alleging executive interference in judiciary, seeking proposals for judicial independence.",High
"Suo motu on judicial independence from executive interference; judge recuses, stressing judicial restraint under Article 184(3).",High
"Supreme Court addresses executive interference, intimidation of judges, and manipulation of politically consequential matters, impacting judicial independence.",High
"Suo Motu on undeclared foreign assets, tax evasion, and currency outflows by Pakistani citizens; reviewing legislative and executive measures.",High
"Suo moto case on undermining criminal justice system, constitutional violations, and transfers in high-profile cases by authorities.",High
"Suo Moto: Undermining Criminal Justice System, retrospective ECL amendments, and constitutional violations regarding NAB accused by authorities.",High
"Compounding of offence under Cr.P.C. Section 345 results in acquittal, erasing guilt and setting aside sentence, per Islamic jurisprudence.",High
"Suo motu case on dual nationality of judges and government officials, analyzing constitutional and statutory provisions regarding public service.",High
"Suo Moto case: Investigation into journalist Arshad Sharif's murder in Kenya, awaiting foreign legal assistance from SJIT.",High
"Suo Moto case concerning transparent investigation into journalist Arshad Sharif's murder in Kenya, addressing international cooperation challenges.",High
Suo Moto case: facilitating independent and transparent investigation into journalist Arshad Sharif's murder in Kenya.,High
"Suo Moto case regarding large-scale violations of journalists' Fundamental Rights, press freedom, harassment, and FIA actions under Article 184(3).",High
Defines Chief Justice's sole authority for invoking suo motu jurisdiction under Article 184(3) of the Constitution.,High
"SC addresses attacks on journalists, press freedom (Art. 19), and FIA actions against ""malicious campaigns"" targeting judges.",High
"Supreme Court addresses suo motu and petitions concerning journalists' attacks/abductions, FIA actions, and investigates constitutional petition filing discrepancies.",High
Suo Moto jurisdiction under Article 184(3): procedure for invocation and propriety of initiating via unregistered application.,High
SCP clarifies suo motu jurisdiction under Article 184(3); Chief Justice alone invokes and constitutes benches.,High
"No judgment text provided, unable to derive case statement.",Low
"Suo Moto case and Constitutional petition concerning press freedom, journalists' issues, and FIA notices, pending election.",High
Empty judgment text; unable to determine case details for analysis.,Low
"Suo motu case on Hafiz-e-Quran MBBS/BDS admission marks; SC affirmed HCJP's suo motu power, recalled bench's ultra vires order.",High
Suo Moto case on constitutional validity of granting 20 additional marks to Hafiz-e-Quran for MBBS/BDS admissions.,High
"Empty judgment text provided, no legal analysis possible for extraction.",Low
"Suo Moto on Islamabad-Rawalpindi sit-in addressing PEMRA, ISI reports, social media extremism, and state's response.",High
"Suo Moto action on TLP Faizabad dharna, examining fundamental rights infringement, state failure, media, and intelligence agencies' roles.",High
"Suo Moto action on Islamabad Dharna; PEMRA's inaction on media violations, freedom of information, and government accountability.",High
"Supreme Court interprets Article 63(1)(c) regarding Parliamentarians' dual nationality disqualification for Senate elections, emphasizing the critical nomination filing date.",High
"SC Suo Moto clarifies LHC order on media regulation, freedom of speech; corrects false impression of broadcast ban.",High
Suo Moto case concerning statutory organizations' resistance to audit by Auditor General for Pakistan; DHA included.,High
"Supreme Court Suo Moto action against illegal appointments, promotions, and inductions in National Accountability Bureau (NAB).",High
Suo Motu examining NAB Ordinance S.25(a) vires concerning voluntary return scheme abuse and lack of departmental action.,High
"Suo Moto action on Sindh Public Service Commission's illegal appointments, CCE-2013 irregularities, and unqualified members, infringing fundamental rights.",High
"Suo Moto action against Sindh Coal Authority and Special Initiative Department for corruption, illegal appointments, and unauthorized projects violating rules.",High
"Suo motu action for nationalized bank retirees' pensionary benefits, enforcing minimum dignified pension as fundamental right under Articles 9 and 14.",High
Suo Motu case on recovery of 54 billion PKR unlawfully written-off bank loans from corporations.,High
"Supreme Court addresses recovery of Rs. 54 billion in written-off bank loans, instructing borrowers to accept options.",High
"Suo Motu: SC mandates PEMRA to enforce media code against prejudicial commentary on sub-judice matters, balancing free speech and fair trial.",High
"Suo Motu notice against provincial government self-projection advertisements using public funds, citing pre-poll rigging concerns in election year.",High
Suo Motu: ensures timely media worker salaries; establishes government advertisement content regulation guidelines against personal projection.,High
"Suo Moto case on PIA's financial irregularities, mismanagement, increasing losses, flight delays, and appointments, linked to constitutional petitions.",High
